   X ,   Y ,   Z ,  X0 ,  Y0 ,  Z0 ,   R ,   U ,   V ,   W ,  CN ,  F1 ,  F2 ,  F3
   0.842151E+01 ,   0.987269E+01 ,   0.110575E+01 ,      8.42 ,      9.87 ,      1.11 ,       1.105787 ,      0.00000000 ,      0.00000000 ,      0.00000000 ,   4 ,  -0.614968E-01 ,   0.189702E+00 ,   0.498670E+00
   0.112382E+02 ,   0.992218E+01 ,   0.270193E+01 ,     11.24 ,      9.92 ,      2.70 ,       0.932058 ,      0.00000000 ,      0.00000000 ,      0.00000000 ,   3 ,  -0.374804E-01 ,   0.160213E+00 ,   0.228850E+00
   0.104395E+02 ,   0.105691E+02 ,   0.103031E+01 ,     10.44 ,     10.57 ,      1.03 ,       1.030343 ,      0.00000000 ,      0.00000000 ,      0.00000000 ,   5 ,  -0.468544E-01 ,  -0.128099E+00 ,   0.347215E+00
   0.129248E+02 ,   0.109123E+02 ,   0.216959E+01 ,     12.92 ,     10.91 ,      2.17 ,       1.094825 ,      0.00000000 ,      0.00000000 ,      0.00000000 ,   3 ,   0.536438E+00 ,  -0.675648E+00 ,   0.373118E+00
   0.142696E+02 ,   0.119461E+02 ,   0.978057E+00 ,     14.27 ,     11.95 ,      0.98 ,       0.978083 ,      0.00000000 ,      0.00000000 ,      0.00000000 ,   3 ,   0.142275E+00 ,   0.248871E+00 ,   0.105948E+00
   0.166526E+02 ,   0.944855E+01 ,   0.114712E+01 ,     16.65 ,      9.45 ,      1.15 ,       1.147159 ,      0.00000000 ,      0.00000000 ,      0.00000000 ,   3 ,   0.111654E-01 ,   0.188112E+00 ,   0.281911E+00
   0.187835E+02 ,   0.999895E+01 ,   0.105510E+01 ,     18.78 ,     10.00 ,      1.06 ,       1.055124 ,      0.00000000 ,      0.00000000 ,      0.00000000 ,   3 ,  -0.139734E+00 ,  -0.252498E-01 ,   0.905447E+00
   0.203828E+02 ,   0.115886E+02 ,   0.119976E+01 ,     20.38 ,     11.59 ,      1.20 ,       1.199798 ,      0.00000000 ,      0.00000000 ,      0.00000000 ,   4 ,  -0.439881E-01 ,  -0.320175E+00 ,   0.251906E+00
   0.241337E+02 ,   0.122925E+02 ,   0.950614E+00 ,     24.13 ,     12.29 ,      0.95 ,       0.950625 ,      0.00000000 ,      0.00000000 ,      0.00000000 ,   2 ,   0.309624E-01 ,  -0.270825E+00 ,   0.482597E+00
   0.257325E+02 ,   0.133340E+02 ,   0.945395E+00 ,     25.73 ,     13.33 ,      0.95 ,       0.945436 ,      0.00000000 ,      0.00000000 ,      0.00000000 ,   3 ,  -0.443673E-01 ,  -0.378824E+00 ,   0.755004E+00
   0.260444E+02 ,   0.115087E+02 ,   0.906760E+00 ,     26.04 ,     11.51 ,      0.91 ,       0.906779 ,      0.00000000 ,      0.00000000 ,      0.00000000 ,   3 ,   0.706897E+00 ,   0.117344E+00 ,   0.179760E+00
   0.284277E+02 ,   0.849974E+01 ,   0.107077E+01 ,     28.43 ,      8.50 ,      1.07 ,       1.070827 ,      0.00000000 ,      0.00000000 ,      0.00000000 ,   5 ,   0.118952E+00 ,  -0.447830E+00 ,   0.903562E+00
   0.305502E+02 ,   0.143565E+02 ,   0.135949E+01 ,     30.55 ,     14.36 ,      1.36 ,       1.139197 ,      0.00000000 ,      0.00000000 ,      0.00000000 ,   3 ,  -0.355905E-01 ,  -0.440837E-02 ,   0.329961E+00
   0.348242E+02 ,   0.160926E+02 ,   0.914457E+00 ,     34.82 ,     16.09 ,      0.91 ,       0.914497 ,      0.00000000 ,      0.00000000 ,      0.00000000 ,   2 ,  -0.122011E+00 ,  -0.980027E-01 ,   0.691628E+00
   0.363269E+02 ,   0.213856E+02 ,   0.981593E+00 ,     36.33 ,     21.39 ,      0.98 ,       0.981619 ,      0.00000000 ,      0.00000000 ,      0.00000000 ,   2 ,  -0.940826E-01 ,  -0.160295E+00 ,   0.381840E+00
   0.464889E+02 ,   0.894441E+01 ,   0.100540E+01 ,     46.49 ,      8.94 ,      1.01 ,       1.005415 ,      0.00000000 ,      0.00000000 ,      0.00000000 ,   2 ,   0.219194E+00 ,   0.713434E-01 ,   0.548884E+00
   0.522477E+02 ,   0.147961E+02 ,   0.110213E+01 ,     52.25 ,     14.80 ,      1.10 ,       1.102176 ,      0.00000000 ,      0.00000000 ,      0.00000000 ,   5 ,   0.251712E+00 ,   0.127956E-01 ,   0.589336E+00
   0.543019E+02 ,   0.138299E+02 ,   0.116981E+01 ,     54.30 ,     13.83 ,      1.17 ,       1.168970 ,      0.00000000 ,      0.00000000 ,      0.00000000 ,   3 ,   0.300633E+00 ,  -0.518999E-01 ,  -0.505003E-01
   0.474919E+01 ,   0.139622E+02 ,   0.100708E+01 ,      4.75 ,     13.96 ,      1.01 ,       1.007138 ,      0.00000000 ,      0.00000000 ,      0.00000000 ,   5 ,  -0.834628E-01 ,   0.471950E+00 ,   0.140862E+01
   0.637055E+01 ,   0.117076E+02 ,   0.118726E+01 ,      6.37 ,     11.71 ,      1.19 ,       1.187317 ,      0.00000000 ,      0.00000000 ,      0.00000000 ,   4 ,  -0.296851E+00 ,  -0.257568E+00 ,   0.715026E+00
   0.782683E+01 ,   0.133208E+02 ,   0.217417E+01 ,      7.83 ,     13.32 ,      2.17 ,       1.199542 ,      0.00000000 ,      0.00000000 ,      0.00000000 ,   2 ,  -0.143399E+00 ,   0.110664E+00 ,   0.858738E-01
   0.140681E+02 ,   0.787720E+01 ,   0.484259E+01 ,     14.07 ,      7.88 ,      4.84 ,       1.046922 ,      0.00000000 ,      0.00000000 ,      0.00000000 ,   2 ,  -0.226846E+00 ,   0.120210E+00 ,  -0.913245E-01
   0.990928E+01 ,   0.136256E+02 ,   0.105731E+01 ,      9.91 ,     13.63 ,      1.06 ,       1.057324 ,      0.00000000 ,      0.00000000 ,      0.00000000 ,   3 ,  -0.231855E+00 ,   0.294315E+00 ,   0.481793E+00
   0.116444E+02 ,   0.149434E+02 ,   0.110863E+01 ,     11.64 ,     14.94 ,      1.11 ,       1.108649 ,      0.00000000 ,      0.00000000 ,      0.00000000 ,   3 ,  -0.168962E+00 ,  -0.165334E+00 ,   0.427831E+00
   0.158904E+02 ,   0.146084E+02 ,   0.109999E+01 ,     15.89 ,     14.61 ,      1.10 ,       1.100051 ,      0.00000000 ,      0.00000000 ,      0.00000000 ,   3 ,   0.115396E-01 ,  -0.404309E+00 ,   0.725135E+00
   0.163043E+02 ,   0.116482E+02 ,   0.108088E+01 ,     16.30 ,     11.65 ,      1.08 ,       1.080945 ,      0.00000000 ,      0.00000000 ,      0.00000000 ,   6 ,  -0.447984E-01 ,  -0.464640E+00 ,   0.138262E+01
   0.182944E+02 ,   0.123088E+02 ,   0.101687E+01 ,     18.29 ,     12.31 ,      1.02 ,       1.016897 ,      0.00000000 ,      0.00000000 ,      0.00000000 ,   4 ,   0.544979E+00 ,  -0.297017E+00 ,   0.110499E+01
   0.209546E+02 ,   0.135889E+02 ,   0.323609E+01 ,     20.95 ,     13.59 ,      3.24 ,       1.015035 ,      0.00000000 ,      0.00000000 ,      0.00000000 ,   3 ,   0.607912E+00 ,  -0.461109E-01 ,  -0.252012E+00
